,query,latitude,longitude,block,street_name,building,postal,service_year
39,CITY HALL MRT STATION EW13,1.29293672227779,103.852585580366,150,NORTH BRIDGE ROAD,CITY HALL MRT STATION (EW13 / NS25),179100,1987
40,RAFFLES PLACE MRT STATION EW14,1.28412561043658,103.851461712342,5,RAFFLES PLACE,RAFFLES PLACE MRT STATION (EW14 / NS26),48618,1987
41,TANJONG PAGAR MRT STATION EW15,1.27656131737246,103.845725186759,120,MAXWELL ROAD,TANJONG PAGAR MRT STATION (EW15),69119,1987
42,OUTRAM PARK MRT STATION EW16,1.28140504772213,103.839130979249,10,OUTRAM ROAD,OUTRAM PARK MRT STATION (EW16),169037,1987
43,TIONG BAHRU MRT STATION EW17,1.28610253615775,103.827445112419,300,TIONG BAHRU ROAD,TIONG BAHRU MRT STATION (EW17),168731,1988
44,REDHILL MRT STATION EW18,1.28963453412887,103.81674097205,920,TIONG BAHRU ROAD,REDHILL MRT STATION (EW18),158792,1988
45,QUEENSTOWN MRT STATION EW19,1.29455085184931,103.806077155982,301,COMMONWEALTH AVENUE,QUEENSTOWN MRT STATION (EW19),149729,1988
46,COMMONWEALTH MRT STATION EW20,1.30250199924325,103.798228523336,375,COMMONWEALTH AVENUE,COMMONWEALTH MRT STATION (EW20),149735,1988
47,BUONA VISTA MRT STATION EW21,1.3072237082044,103.790253514502,100,NORTH BUONA VISTA ROAD,BUONA VISTA MRT STATION (EW21),139345,1988
48,DOVER MRT STATION EW22,1.31140529320963,103.778637841909,200,COMMONWEALTH AVENUE WEST,DOVER MRT STATION (EW22),138677,2001
49,CLEMENTI MRT STATION EW23,1.31511625277378,103.765191452888,3150,COMMONWEALTH AVENUE WEST,CLEMENTI MRT STATION (EW23),129580,1988
50,JURONG EAST MRT STATION EW24,1.33315281585758,103.742286332403,10,JURONG EAST STREET 12,JURONG EAST MRT STATION (EW24 / NS1),609690,1990
51,CHINESE GARDEN MRT STATION EW25,1.34235282081401,103.732596738363,151,BOON LAY WAY,CHINESE GARDEN MRT STATION (EW25),609959,1988
52,LAKESIDE MRT STATION EW26,1.34425911493819,103.720949087456,201,BOON LAY WAY,LAKESIDE MRT STATION (EW26),649845,1988
53,BOON LAY MRT STATION EW27,1.33860405469845,103.706064622772,301,BOON LAY WAY,BOON LAY MRT STATION (EW27),649846,1990
54,PIONEER MRT STATION EW28,1.33758701106708,103.697321608474,31,JURONG WEST STREET 63,PIONEER MRT STATION (EW28),648310,2009
55,JOO KOON MRT STATION EW29,1.3277170408447,103.678374996165,91,JOO KOON CIRCLE,JOO KOON MRT STATION (EW29),629116,2009
56,GUL CIRCLE MRT STATION EW30,1.31947090075208,103.660530461345,7A,TUAS ROAD,GUL CIRCLE MRT STATION (EW30),637288,2017
57,TUAS CRESCENT MRT STATION EW31,1.32102695598684,103.649078235627,90,PIONEER ROAD,TUAS CRESCENT MRT STATION (EW31),639608,2017
58,TUAS WEST ROAD MRT STATION EW32,1.32998504653102,103.639616648771,131,PIONEER ROAD,TUAS WEST ROAD MRT STATION (EW32),639609,2017
59,TUAS LINK MRT STATION EW33,1.34088242451105,103.636991425128,20,TUAS WEST DRIVE,TUAS LINK MRT STATION (EW33),638418,2017
60,EXPO MRT STATION CG1,1.33454977824817,103.961548211018,21,CHANGI SOUTH AVENUE 1,EXPO MRT STATION (CG1),486065,2002
61,CHANGI AIRPORT MRT STATION CG2,1.35747897447692,103.98788356959,70,AIRPORT BOULEVARD,CHANGI AIRPORT MRT STATION (CG2),819661,2002
62,HARBOURFRONT MRT STATION NE1,1.26538938374901,103.821530157095,81,TELOK BLANGAH ROAD,HARBOURFRONT MRT STATION (NE1 / CC29),98867,2003
63,OUTRAM PARK MRT STATION NE3,1.27972059383553,103.839439862425,300,EU TONG SEN STREET,OUTRAM PARK MRT STATION (NE3),59816,2003
64,CHINATOWN MRT STATION NE4,1.28435959278583,103.843426681863,151,NEW BRIDGE ROAD,CHINATOWN MRT STATION (NE4),59443,2003
65,CLARKE QUAY MRT STATION NE5,1.28838602407588,103.846555209694,10,EU TONG SEN STREET,CLARKE QUAY MRT STATION (NE5),59815,2003
66,DHOBY GHAUT MRT STATION NE6,1.29970458121203,103.845488542541,60,ORCHARD ROAD,DHOBY GHAUT MRT STATION (NE6),238889,2003
67,LITTLE INDIA MRT STATION NE7,1.30680019696174,103.849647059738,60,BUKIT TIMAH ROAD,LITTLE INDIA MRT STATION (NE7),229900,2003
68,FARRER PARK MRT STATION NE8,1.31190557325774,103.853477716509,250,RACE COURSE ROAD,FARRER PARK MRT STATION (NE8),218703,2003
69,BOON KENG MRT STATION NE9,1.31933570922514,103.861569454156,900,SERANGOON ROAD,BOON KENG MRT STATION (NE9),328260,2003
70,POTONG PASIR MRT STATION NE10,1.33137949021368,103.869055656782,55,UPPER SERANGOON ROAD,POTONG PASIR MRT STATION (NE10),347694,2003
71,WOODLEIGH MRT STATION NE11,1.33919004519388,103.87081830915,400,UPPER SERANGOON ROAD,WOODLEIGH MRT STATION (NE11),347695,2011
